id	name	category	provided_by
GOLD:gp0356199	gp0356199	biolink:Attribute	GOLD
GOLD:ga0334885	ga0334885	biolink:Attribute	GOLD
GOLD:gp0356201	gp0356201	biolink:Attribute	GOLD
GOLD:ga0334896	ga0334896	biolink:Attribute	GOLD
GOLD:gp0356212	gp0356212	biolink:Attribute	GOLD
GOLD:ga0116233	ga0116233	biolink:Attribute	GOLD
GOLD:gp0138710	gp0138710	biolink:Attribute	GOLD
GOLD:ga0180029	ga0180029	biolink:Attribute	GOLD
GOLD:gp0197900	gp0197900	biolink:Attribute	GOLD
GOLD:plant_litter	plant_litter	biolink:Attribute	GOLD
GOLD:ga0180028	ga0180028	biolink:Attribute	GOLD
GOLD:gp0197899	gp0197899	biolink:Attribute	GOLD
GOLD:ga0100964	ga0100964	biolink:Attribute	GOLD
GOLD:gp0124740	gp0124740	biolink:Attribute	GOLD
GOLD:gs0117790	gs0117790	biolink:Attribute	GOLD
GOLD:oakland_ca_usa	oakland_ca_usa	biolink:NamedThing	GOLD
GOLD:anaerobic_digestor	anaerobic_digestor	biolink:Attribute	GOLD
GOLD:ga0118671	ga0118671	biolink:Attribute	GOLD
GOLD:gp0138607	gp0138607	biolink:Attribute	GOLD
GOLD:gs0118660	gs0118660	biolink:Attribute	GOLD
GOLD:seattle_wa	seattle_wa	biolink:NamedThing	GOLD
GOLD:anaerobic_wastewater_sludge	anaerobic_wastewater_sludge	biolink:Attribute	GOLD
GOLD:ga0118674	ga0118674	biolink:Attribute	GOLD
GOLD:gp0138606	gp0138606	biolink:Attribute	GOLD
GOLD:ga0118672	ga0118672	biolink:Attribute	GOLD
GOLD:gp0138608	gp0138608	biolink:Attribute	GOLD
GOLD:ga0118673	ga0118673	biolink:Attribute	GOLD
GOLD:gp0138605	gp0138605	biolink:Attribute	GOLD
GOLD:ga0116175	ga0116175	biolink:Attribute	GOLD
GOLD:gp0138809	gp0138809	biolink:Attribute	GOLD
GOLD:gs0116197	gs0116197	biolink:Attribute	GOLD
GOLD:usa	usa	biolink:NamedThing	GOLD
GOLD:anaerobic_digestor_sludge	anaerobic_digestor_sludge	biolink:Attribute	GOLD
GOLD:ga0116169	ga0116169	biolink:Attribute	GOLD
GOLD:gp0138837	gp0138837	biolink:Attribute	GOLD
GOLD:canada	canada	biolink:NamedThing	GOLD
GOLD:ga0116167	ga0116167	biolink:Attribute	GOLD
GOLD:gp0138804	gp0138804	biolink:Attribute	GOLD
GOLD:japan	japan	biolink:NamedThing	GOLD
GOLD:ga0116190	ga0116190	biolink:Attribute	GOLD
GOLD:gp0138796	gp0138796	biolink:Attribute	GOLD
GOLD:ga0116179	ga0116179	biolink:Attribute	GOLD
GOLD:gp0138810	gp0138810	biolink:Attribute	GOLD
GOLD:ga0116188	ga0116188	biolink:Attribute	GOLD
GOLD:gp0138794	gp0138794	biolink:Attribute	GOLD
GOLD:ga0116181	ga0116181	biolink:Attribute	GOLD
GOLD:gp0138812	gp0138812	biolink:Attribute	GOLD
GOLD:ga0116146	ga0116146	biolink:Attribute	GOLD
GOLD:gp0138798	gp0138798	biolink:Attribute	GOLD
GOLD:ga0116182	ga0116182	biolink:Attribute	GOLD
GOLD:gp0138831	gp0138831	biolink:Attribute	GOLD
GOLD:usa_massachusetts_boston	usa_massachusetts_boston	biolink:NamedThing	GOLD
GOLD:ga0116147	ga0116147	biolink:Attribute	GOLD
GOLD:gp0138799	gp0138799	biolink:Attribute	GOLD
GOLD:ga0116180	ga0116180	biolink:Attribute	GOLD
GOLD:gp0138811	gp0138811	biolink:Attribute	GOLD
GOLD:ga0116148	ga0116148	biolink:Attribute	GOLD
GOLD:gp0138824	gp0138824	biolink:Attribute	GOLD
GOLD:ga0116183	ga0116183	biolink:Attribute	GOLD
GOLD:gp0138832	gp0138832	biolink:Attribute	GOLD
GOLD:ga0116185	ga0116185	biolink:Attribute	GOLD
GOLD:gp0138806	gp0138806	biolink:Attribute	GOLD
GOLD:ga0116173	ga0116173	biolink:Attribute	GOLD
GOLD:gp0138817	gp0138817	biolink:Attribute	GOLD
GOLD:ga0116149	ga0116149	biolink:Attribute	GOLD
GOLD:gp0138825	gp0138825	biolink:Attribute	GOLD
GOLD:ga0116187	ga0116187	biolink:Attribute	GOLD
GOLD:gp0138808	gp0138808	biolink:Attribute	GOLD
GOLD:ga0116174	ga0116174	biolink:Attribute	GOLD
GOLD:gp0138818	gp0138818	biolink:Attribute	GOLD
GOLD:ga0116172	ga0116172	biolink:Attribute	GOLD
GOLD:gp0138816	gp0138816	biolink:Attribute	GOLD
GOLD:ga0116142	ga0116142	biolink:Attribute	GOLD
GOLD:gp0138813	gp0138813	biolink:Attribute	GOLD
GOLD:ga0116144	ga0116144	biolink:Attribute	GOLD
GOLD:gp0138815	gp0138815	biolink:Attribute	GOLD
GOLD:ga0116176	ga0116176	biolink:Attribute	GOLD
GOLD:gp0138827	gp0138827	biolink:Attribute	GOLD
GOLD:ga0116186	ga0116186	biolink:Attribute	GOLD
GOLD:gp0138807	gp0138807	biolink:Attribute	GOLD
GOLD:ga0116143	ga0116143	biolink:Attribute	GOLD
GOLD:gp0138814	gp0138814	biolink:Attribute	GOLD
GOLD:ga0116171	ga0116171	biolink:Attribute	GOLD
GOLD:gp0138801	gp0138801	biolink:Attribute	GOLD
GOLD:ga0116141	ga0116141	biolink:Attribute	GOLD
GOLD:gp0138793	gp0138793	biolink:Attribute	GOLD
GOLD:ga0116170	ga0116170	biolink:Attribute	GOLD
GOLD:gp0138800	gp0138800	biolink:Attribute	GOLD
GOLD:ga0116177	ga0116177	biolink:Attribute	GOLD
GOLD:gp0138828	gp0138828	biolink:Attribute	GOLD
GOLD:ga0116145	ga0116145	biolink:Attribute	GOLD
GOLD:gp0138797	gp0138797	biolink:Attribute	GOLD
GOLD:ga0116195	ga0116195	biolink:Attribute	GOLD
GOLD:gp0138790	gp0138790	biolink:Attribute	GOLD
GOLD:china_chengdu_sichuan	china_chengdu_sichuan	biolink:NamedThing	GOLD
GOLD:ga0116194	ga0116194	biolink:Attribute	GOLD
GOLD:gp0138789	gp0138789	biolink:Attribute	GOLD
GOLD:ga0116192	ga0116192	biolink:Attribute	GOLD
GOLD:gp0138787	gp0138787	biolink:Attribute	GOLD
GOLD:ga0116166	ga0116166	biolink:Attribute	GOLD
GOLD:gp0138803	gp0138803	biolink:Attribute	GOLD
GOLD:ga0116165	ga0116165	biolink:Attribute	GOLD
GOLD:gp0138802	gp0138802	biolink:Attribute	GOLD
GOLD:ga0116163	ga0116163	biolink:Attribute	GOLD
GOLD:gp0138784	gp0138784	biolink:Attribute	GOLD
GOLD:ga0116189	ga0116189	biolink:Attribute	GOLD
GOLD:gp0138795	gp0138795	biolink:Attribute	GOLD
GOLD:ga0116160	ga0116160	biolink:Attribute	GOLD
GOLD:gp0138834	gp0138834	biolink:Attribute	GOLD
GOLD:ga0116191	ga0116191	biolink:Attribute	GOLD
GOLD:gp0138786	gp0138786	biolink:Attribute	GOLD
GOLD:ga0116159	ga0116159	biolink:Attribute	GOLD
GOLD:gp0138833	gp0138833	biolink:Attribute	GOLD
GOLD:ga0116168	ga0116168	biolink:Attribute	GOLD
GOLD:gp0138836	gp0138836	biolink:Attribute	GOLD
